1.1.1	atha vidhyavyapadeśe sarvakratvadhikāraḥ
10.1.12	tena yajetāpy ahīnabhūtenāhīnaliṅgāni hy asmin brāhmaṇaṃ darśayati yathaikadīkṣaṇam
10.1.13	prathame 'hany ākṣāraṃ brahmāsāma kurvan naudhasasyarkṣu kuryāt
10.1.14	tasyauṣṇiham ekākṣaraṇidhanaṃ sthāne syān naudhasaṃ vā
10.1.15	anācāras tūṣṇikṣu bārhatānām anekākṣaraṇidhanāni cātra bhūyiṣṭhāni sāmāni
10.1.16	tatra pauṣkalaṃ kuryāt jyotiṣṭomaprāyāṇi hy atra sāmāni
10.2.1	śarkarīṣu ṣoḍaśinā stuvīteti gaurīvitaṃ mahānāmnīṣu syād ṛkcodanā hi tatprakaraṇe
10.2.2	mahānāmnyas tv eva ṣoḍaśisāma syur na hyetāsv anyat sāmāpadyate
10.2.3	api ca pṛṣṭhastotrīyeṣu parokṣāṇi kurvan naitāsu nityavatsāḥ karoti
10.2.4	kṛtāś caitasmiṃ sthāne vajrasya
10.2.5	virāṭsv anuṣṭupsu ca gaurīvitam eva syāt svāraprāyāṇi hi ṣoḍaśisāmāni
10.2.6	śarkvarīṇāṃ kāmyāni nidhanānīḍāsthāneṣu syur ity ācāryās taddhi bhūyiṣṭham
10.2.7	ūdhaḥsv eveti gautamadhānañjapyāv atra hi nidhanavādaṃ vadati
10.2.8	athakārasthāna iti śaucivṛkṣir evam alpīyān vikāraḥ
10.2.9	aniyamāt sarveṣu nidhanasthāneṣv iti kautsaḥ
10.2.10	uttamayā stotrīyayā saṃyuktaṃ purīṣam ānantaryād iti dhānañjapyaḥ
10.2.11	śarkvarībhiḥ stutvety apavarjya purīṣeṇetyāha tasmād asaṃyuktaṃ syāt
10.2.12	paryāyānte syāt stotrānte vā
10.2.13	pañcame 'hani rāyovājīyaṃ brahmasāma kurvaṃs tasya sthāne kuryāt yat kalpavṛttenopapannam
10.2.14	bārhadgiraṃ kuryād araṇye geyaṃ hi sachandasyaṃ ca samāne cāhani dṛṣṭam
10.2.15	pārthuraśmaṃ kurvan bārhadgirasya kuryād ṛcām asaṃcārāya
10.3.1	daśamasyāhno 'naṅgam eke mānasaṃ bruvate bahiṣpatnīsaṃyājatvādastotrasthānaṃ hi
10.3.2	agniṣṭomāv abhita iti
10.3.3	avayavena cāsya sargaṁ vadati
10.3.4	aṅgaṃ tu syād adhikṛtyāmnānāt
10.3.5	astotrasthānam ity ekastotrasyāpi svātantryaṃ na vidyate
10.3.6	agniṣṭomāv abhita iti vādamātraṃ yathā yadukthyo yajñakrator anantarayāyety atirātrasya gavāmayane
10.3.7	na ca sargāvayavād adhikṛtyāmnātam anaṅgaṃ syāt yathā rathantaraṃ jyotiṣṭomasya
10.3.8	atirātrayoḥ ṣoḍaśiny anādiṣṭe pratiṣiddhevā kriyamāṇe yatra virāḍ upapadyeta kuryād enaṃ tatretyācāryā dvādaśāhe hi kriyate na gavāmayane tatra tathopapadyate
10.3.9	akāraṇaṃ tu sampadbahavo hy avirāṭ saṃpannāḥ kāraṇaṃ cāpūrvasya vidher na vidyate
10.3.10	yāthākāmī tv atirātrasya prakṛtau tasmād ihāpi tathaiva syāt
10.3.11	niyamārthau tu vidhipratiṣedhau
10.3.12	pūrvasmiṃs trayodaśarātre vyūḍhāś chandomāḥ somasāmādeśād gaurīvitasya cānādeśāt
10.3.13	gavāmayananyāyena pṛṣṭhyo 'vacchinno hi tathā pravartate
10.3.14	daśarātravat tv avyatirekāt
10.3.15	sacchandomatvāt
10.3.16	vyūhasamādheḥ
10.3.17	pratnavac cādyabahiṣpavamānaṃ pareṇa hy etad asya pratnānurūpa ityāha
10.3.18	dṛṣṭaṃ ca daśamārtham avyavacchede
10.3.19	navāhayogāc ca
10.3.20	saṃvatsarādeśād rātrisatreṣu tathaivābhiplavānām abhyāsa iti gautamaḥ
10.3.21	trayastriṃśadrātre nivṛttim uttareṣāṃ darśayatītyapare
10.4.1	āvṛttānāṃ pañcāhānāṃ prathamasya pañcāhasya prathamasyāhno mānavādir bṛhatī tajjāmi syāt saṃtaninā
10.4.2	vaikṛtatvāt tu nivṛttiḥ
10.4.3	pañcāheṣv abhiplavan na prasajet
10.4.4	tān pṛṣṭhyastomapañcāhān eke 'nādeśe prakṛtipratyayād viśvajidanvavāyān nānā brahmasāmatvāt pṛṣṭhyataḥ ṣaṣṭhasyālopavacanāt jyotirgaurāyur ity anādeśāt trivṛtā prayanti trivṛtodyantīti cāha
10.4.5	samās tv ete
10.4.6	abhiplavapañcāhā eveti gautame 'dhikṛto hi sa satreṣu bhavatītaraś cādṛṣṭaḥ
10.4.7	abhyāsaś cāsya prākṛtasyāpi kutaḥ pañcāhasya
10.4.8	jyotirgaurāyurgaurāyuḥ pañcāhaḥ sa dvitīyaḥ sa tṛtīya iti ca parabrāhmaṇam
10.4.9	eṣa pratnāvārkajambhaṃ vā pratipañcāhaṃ yathā lokabṛhadrathantarāś cet
10.4.10	āñjanābhyañjanāsu gārhapatya upasatsu sarpīṃṣi phāṇeyuḥ pṛthagdevasurabhibhir yāny uktāni brāhmaṇena
10.4.11	taiḥ sutyāsūpākaraṇavelāyāṃ savanānāṃ pūrveṇa havirdhāne āsīnā āñjīrann abhyañjīraṃ ca
10.4.12	bhuktvāgnīdhrīya eveti gautamaḥ
10.4.13	uktam ānupūrvyaṃ brāhmaṇena
10.4.14	aharaharetat kuryur iti dhānañjapyaśāṇḍilyau
10.4.15	sarvastoma eveti gautamaḥ
10.4.16	pṛṣṭhya ity eke
10.5.1	saṃvatsarasaṃmitāsu prathamaṃ dāśarātrikaṃ prāyaṇīyaṃ syād ity eke trivṛd eva kāryam iti hyāheti
10.5.2	prāyaṇīyaṃ tu codayitvā tasya stomavikāraṃ gṛhṇāti
10.5.3	dāśarātrikāṇāṃ cāvayavaprayogo na vidyate
10.5.4	āvṛtte 'bhiplave śārkvaravarṇaṃ syād ity ācāryaḥ sāṃvatsarikasya dravyasyānugrahāyeti
10.5.5	caturthas tv abhiplavo luptas tena sahāpeyād yathā pṛṣṭhena janitram
10.5.6	saṃtani pūrvaprayuktam āvṛttisādhutvāt
10.5.7	yaṇvaṃ tu syād upariṣṭādhyabhiplavānāṃ lopasthānaṃ pūrvasmin pakṣasi tat purastād āvṛttānām
10.5.8	etenoktam ekaṣaṣṭirātre
10.5.9	śatarātre 'bhiprayāyam abhiṣuṇvantv abhikrāntyai samānatrābhiṣuṇvanti pratiṣṭhityā iti sa vikalpaḥ syāt
10.5.10	yāntaḥ sunuyur yathā sārasvateṣu
10.5.11	yatra tu kvaca
10.5.12	samānadeśe vā yathānyeṣām ayānta eva
10.5.13	cakrīvanti sadohavirdhānāni kārayitvāhaḥsaṃsthāsu cakrāṇi viparivartayeyur ity ācāryas tadabhiprayāttadrūpam aprayāṇāṃ ca samānatrābhiṣavaḥ
10.5.14	ahar ahar etat kuryur iti dhānañjapyaśāṇḍilyau
10.5.15	abhiplaveṣv eveti gautamaḥ
10.5.16	trikadrukeṣv ity eke
10.5.17	uktakāladīkṣā brāhmaṇena gavāmayanasya
10.5.18	vaiśākhajyaiṣṭhau tu vikalpete caitrīpakṣeṇāṣāḍhaś ca
10.5.19	ṣaṣṭhyāṃ vā dīkṣitvā saptadaśadīkṣāḥ kurvīran
10.5.20	etenoktam anādeśe sāṃvatsarikānāṃ sāṃvatsarikāṇām
10.6.1	pañcasu māḥsu bārhatāḥ pragāthā āpyanta ity abhīvarttastotrīyā brahmasāmabhūtasya tasya hi prakaraṇe śrūyante
10.6.2	anyonyaḥ pragātha iti ca nānā pragāthatāṃ darśayati
10.6.3	catuḥśatam aindrā bārhatā pragāthā daśatayīṣu
10.6.4	teṣāṃ bṛhadrathantarakāleyastotrīyā indrakratuś cānyatra sthānāḥ
10.6.5	śatasyaikaṃ caturviṃśe kuryād itarān abhiplaveṣu
10.6.6	ekonatriṃśatsatobārhatās tṛcāḥ
10.6.7	teṣām ekaikaṃ tṛtīye tṛtīye 'hani kuryāt kṛtā hy etasmiṃ sthāna ārṣeyakalpena
10.6.8	pañcamasya māsasyottame'bhiplave pañcame'hani satobṛhatīḥ kuryāt pragāthā prabhavāt
10.6.9	teṣv āpteṣu chandasī saṃyujyaitavyam iti ṣaṣṭhe māsi gāyatrīpādam ekaikam uṣṇihām upariṣṭāt kuryād iṣṭāvānupapattir hyanyathā
10.6.10	sātobarhataśeṣo 'ṣṭau tān kṛtvā saṃyoga iti gautamaḥ
10.6.11	bṛhatīkṣayāddhyevamāmanatīti
10.6.12	caturuttarair eva chandobhir etavyam iti gāyatrīṃ caturviṃśe kuryād uṣṇihaṃ prathama ābhiplavike 'nuṣṭubhaṃ dvitīye bṛhatīr itareṣu
10.6.13	uddharet tu pañcamād ahnaḥ satobṛhatīḥ prabhavanti hi pragāthāḥ
10.6.14	tatra paṅktīḥ kṛtvā ṣaṣṭhe vā
10.6.15	triṣṭubhā ṣaṣṭhaṃ māsam īyuḥ
10.6.16	jagatī tu tṛtīye svarasāmni
10.6.17	nava sātobārhataśeṣo dvau ca pragāthau tān kṛtvā paṅktim upeyus teṣāṃ cottamasya sthāne tata ūrdhvaṃ triṣṭubheti gautamaḥ
10.7.1	bṛhatyā caiva triṣṭubhā caitavyam iti triṣṭubhaṃ caturviṃśe kuryd bṛhatīṃ prathama ābhiplavike
10.7.2	eṣa viparyāsaḥ sarvasminnayane
10.7.3	etāni mahānānātvāni
10.7.4	caturuttaraprayogo bṛhatītriṣṭubhāṃ ca viparyāsaḥ ṣaṣṭha eva māsi syād iti śaucivṛttiḥ saṃśara iva vā eṣa chandasām iti hi tasminn upodya vidadhāti
10.7.5	sarvatraivety ācāryāś caturuttarāṇi hy anupūrvaṃ prayuñjāno bṛhatīṃ madhya āmanati triṣṭubhā ṣaṣṭhaṃ māsam iti cāha
10.7.6	bṛhatīkṣayāc ca bṛhatyā vyatyāso nopapadyate
10.7.7	sā prāyād bṛhatīgrahaṇam iti śaucivṛkṣis triṣṭubheti yathā bhūyaso vādo 'kṣīṇāś ca bṛhatyaḥ
10.7.8	sātobārhataśeṣo hy aṣṭau bṛhadrathantarakāleyastotrīyāś ca tais triṣṭubho vyatyasyet
10.7.9	taraṇir it siṣāsatīti kāleyaṃ syād yad ahastasya stotrīye 'bhīvartaḥ
10.7.10	svarasāmnor vānyatarasmin rathantarastotrīyaṃ kuryāt kṛtā hi tatrānyā rathantarasyaivaṃ vyācakṣata ācāryāḥ 
10.7.11	viṃśatiśataṃ tv api pragāthā na dhīyate tebhya eva prayuñjīta saṃrodho hi catuḥśate
10.7.12	tatra tathaiva satobṛhatīḥ kuryāt
10.7.13	uddharet tu pañcamād ahnaḥ
10.7.14	śaucivṛkṣeḥ punarviparyāso 'nyāyenākṛtakriyā hi vidhānaṃ kṛtāḥ punar bṛhadrathantarakāleyastotrīyāḥ
10.8.1	viṃśatiśatasya tu śeṣo vidyate teṣāṃ saptabhiḥ sātobārhataiś caturbhir vyatyasyet
10.8.2	trayastriṃśatprabhṛtīn saha caturviṃśeṣu kuryād uttame ca svarasāmnīty ācāryā abhīvartaprakaraṇe hi śrūyante so 'trāpyabhīvarta iti
10.8.3	antareṇa tv etāv ārṣeyakalpena kṛtaṃ ṣaṭpragātham ihāpi tathaiva syāt
10.8.4	teṣāṃ yatra samaprayoge tṛtīye tṛtīye'hani satobṛhatya upapadyeran kuryād enās tatra
10.8.5	anupapadyamānāsu pragāthā eva syur anācāro hi ṣaḍahe 'nyatra tṛtīyād ahnaḥ satobṛhatīnām
10.8.6	sa yathaiva purastād abhīvarttastotrīyaṃ kuryāt tathopariṣṭād indrakratau brahmasāmāni nidhanavanty evaṃ hy ārṣeyakalpena kṛtam
10.8.7	atirātracaturviṃśābhyāṃ saha ṣaṣṭho māsaḥ pūrvasmin pakṣasi vratātirātrābhyāṃ prathama uttarasmin
10.8.8	yad etāni sāmāni na cyavanta iti gaurīvitasyottarayor nihavaśyāvāśve syātāṃ sarvatra gavāmayane 'nārabhya hy acyavanaṃ vidadhātīty eke
10.8.9	anvavetya vidhistvārṣeyakalpena kṛto gaurīvitaśyāvāśvayornihavasya ca brāhmaṇena tathā satyacyavanaṃ syāt
10.9.1	sarve sahartvijo mahāvratena stuvīrann ity udgātṛvikāra eva syād aśrutibhūtā hy anye
10.9.2	avāpyate ca sarvaśabdas teṣv eva
10.9.3	saha stuvīrann iti karmasamavāyāt paurvāparyacodanād anupūrvaṃ stavanaṃ syāt
10.9.4	tisṛbhir udgātātmana udgīyeti cātmanā jaghanyastavanaṃ darśayati
10.9.5	nānādeśastavanaṃ chandogānām eva syād udgātaiva sarveṇodgāyed iti hy uktvā tasya deśān vidadhāti havirdhāne śirasā stutvā saṃrabdhāḥ pratyañca eyus te dakṣiṇena dhiṣṇān parītya paścān maitrāvaruṇasya dhiṣṇyasyopaviśyeti ca ye śirasā stuvate teṣām evetaraiḥ stavanaṃ darśayati
10.9.6	ilāndam agniṣṭomasāma kāryam ity agne tava śravo vaya ity etāsāṃ pūrvasu tisṛṣu syāt
10.9.7	daśākṣareṣv ārcikāny anugānāny evaṃ tṛce bhavati yathānyāni sāmāni
10.9.8	ṣaḍṛce sarvasminn ity ācāryaḥ ardharceṣv anugānāny evam asaṃrodhataro gītānām
10.9.9	dvādaśarca iti śāṇḍilyas tatrāparāv āgneyau tṛcāv āhared ā te agne 'gniṃ taṃ manya ity evam ṛkṣv anugānāni
10.9.10	caturtham evānugānaṃ tṛce syād iti vārṣagaṇyo 'tra hi nidhanavādaṃ vadati vratam iti bhavati svar iti bhavati śakuna iti bhavatīti bhaktayaś ca kalpyante nānāsāmavac caināny eko 'dhīyate 'dhīyate
10.10.1	chandomadaśāhayor daśamasya trayastriṃśam agniṣṭomasāma syād ity eke trikaṃ sārparājñaṃ daśamapradeśāt
10.10.2	yathā bhūyasovādaś caturviṃśam iti
10.10.3	ṛksāmāni tu pradiśyante daśamāt sarvaṃ hy ahar adhikṛtya codyate caturviṃśaḥ
10.10.4	pratyakṣavikāraś ca yathā bhūyaso vādāt
10.10.5	brāhmaṇa vihite ca stome kalpapradeśaḥ ṛksāmnāṃ bhavati
10.10.6	triṃśinaḥ sutyā māsān sarvatra saṃcakṣīran kauṇḍapāyine ca hāviryajñikāṃs tāpaścite ca daikṣopasadān
10.10.7	dṛtivātavator ayane dvāv ekonau māsau sunuyus trivṛtāv iti gautamaḥ
10.10.8	trayastriṃśāv iti dhānañjapyaḥ
10.10.9	ubhau vā triṃśinau syātāṃ yathaitad brāhmaṇam
10.10.10	tathā saty aṣṭamyāṃ dīkṣitvā pañcadaśadīkṣāḥ kurvīran
10.10.11	pañcadaśānāṃ daśamasyāṣṭādaṃṣṭrāntāny ukthāni syur ity ācāryaḥ ṣoḍaśyapāyāddhi nivṛttaṃ nārmedham iti
10.10.12	avacanāt tu nivṛttir na syād yathānyeṣāṃ sāmnām
10.10.13	vacanaṃ ca kāraṇaṃ nārmedhasya na ṣoḍaśī
10.10.14	dṛśyate cābhīkṣṇam aṣoḍaśikeṣu
10.10.15	tasyāyanavicārāḥ pṛṣṭhyenaikaiko māso vartetety eke
10.10.16	pṛṣṭhyastomeneti śāṇḍilyaḥ
10.10.17	abhiplavapṛṣṭhyābhyām iti śaucivṛttiḥ
10.10.18	pṛṣṭhyāhnaikaikeneti śāṇḍilyāyanadhānañjapyau
10.10.19	jyotiṣṭomeneti lāmakāyanas tasya rathantaraṃ pṛṣṭhaṃ bṛhac ca vyatyāsam
10.10.20	yathaivārṣeyakalpenoktam iti kṣairakalambhiḥ
10.11.1	paurṇamāsīprabhṛtayo dīkṣāḥ kauṇḍapāyinasya
10.11.2	tasyopasadanta upavasathakarma kṛtvātirātram upeyur iti śāṇḍilya evaṃ hi gṛhyate vṛttiḥ
10.11.3	tata ūrdhvaṃ prātarāhutyupakramāḥ sāyamāhutisaṃsthā ekānnatriṃśatam ahāny agnihotraṃ juhuyuḥ
10.11.4	māsam eveti gautamaḥ sutyānāṃ tu purastād upavasathakarma syād atirātraś caivaṃ ca gṛhyate vṛttir avyavāyaś ca haviryajñaiḥ sutyānām
10.11.5	aśravaṇād atirātro na syād iti dhānañjapyaḥ pratyantāddhyanyeṣu codayan neha vidadhāti
10.11.6	upasadanta evopavasathakarma syāt
10.11.7	aṣṭādaśabhyo vordhvaṃ śaunāsīryebhyo rājānaṃ krīṇīyur evam anantaraṃ sutyābhyo bhavatīti
10.11.8	dīkṣopasadāṃ vyavāyo nyāya iti śāṇḍilyāyanas te māsi somaṃ krīṇantīti vānantaraṃ dīkṣābhyaḥ krayaṃ darśayati
10.11.9	upavasthakarmaivānantaraṃ sutyābhyaḥ syāt
10.11.10	āgnīdhrīyād aṅgārān mārjalīyaṃ hṛtvā pṛthak sthālīpākān śrapayitvā pitṛyajñān kurvīran
10.11.11	tato dakṣiṇātipraṇayeyuḥ paitṛyajñikāyām
10.11.12	āhavanīyād dakṣiṇato varuṇapraghāseṣu tasmin kuryur yad dakṣiṇāhavanīye kṛtyam upavasthakarma cet kṛtaṃ syāt
10.11.13	yathāprakṛty akṛte
10.11.14	agnihotramāse dīkṣitānnasyādhvaryur juhuyād anvārabdhā itare syuḥ
10.11.15	havīṃṣy eveṣṭyaneṣūpāvadyeyuḥ
10.12.1	agnihotropasthānaṃ viṣṇukramāḥ samiṣṭayajūṃṣīti na kriyerann avabhṛthanyaṅgaś ceti śāṇḍilyaḥ
10.12.2	samidhas tv ādadhyur yās tatra purastād uktāḥ
10.12.3	sarvaṃ kriyeteti dhānañjapyaḥ
10.12.4	māsaṃ darśapūrṇamāsābhyām ity āmāvāsyena pūrvapakṣam itaraṃ paurṇamāsena
10.12.5	āmāvāsye pitṛyajñaḥ sakṛd bhūtvā na syād iti gautamaḥ
10.12.6	na sakṛc ca na syāditi śāṇḍilyaḥ
10.12.7	ahar ahaḥ syād iti dhānañjapyaḥ
10.12.8	māsaṃ sākamedhair iti gṛhamedhīyeneṣṭvā tadaiva śaṣaṃ saṃsthāpayeyur evaṃ triṃśatkṛtva upetā bhavantīti
10.12.9	dvyahāpavargas tv eṣāṃ prakṛtau pañcadaśakṛtva evābhyasyeyuḥ sa māsaḥ
10.12.10	agnihotraṃ daśahoteti daśahotāraṃ nāmādhvaryavo 'gnihotropasthānam adhīyate
10.12.11	ṛtvija uttarair abhipretāḥ
10.12.12	vaṣaṭkāriṇo 'dhvare
10.12.13	atsarukaiś camasair bhakṣayeyuḥ kuṇḍapratirūpaiḥ
10.12.14	hotrā samāsa ukto brāhmaṇena
10.12.15	svād āsanād upasaṃcāraṃ brahmetare hotre kuryāt
10.12.16	tathodgātṛprastotārāv āgnīdhraś ca
10.12.17	gṛhapatir gṛhapatiḥ subrahmaṇyaḥ subrahmaṇya ity asamāsaṃ tayor darśayati
10.13.1	etenoktas tāpaścitasya dīkṣādiḥ
10.13.2	tasyāyanavicārāḥ
10.13.3	jyotiṣṭomo 'tirātraḥ ṣoḍaśimān aharahaḥ syād iti dhānañjapyaḥ
10.13.4	catvāro jyotiṣṭomā abhijid eṣa pañcāhaḥ ṣaṭsu māseṣv abhyasyeta mahāvrataṃ viṣuvān athaita eva māsā āvṛttā viśvajit tv abhijitsthāne tatpuruṣasya nārāyaṇasyāyanam
10.13.5	abhijid aharahas tad agner jyotiṣṭomo vā rathantarapṛṣṭhaḥ
10.13.6	bṛhatpṛṣṭha indrasya
10.13.7	vyatyāsaṃ bṛhadrathantare pṛṣṭhe tad indrāgnyoḥ
10.13.8	ubhayasāmā brahmaprājāpatyoḥ
10.13.9	vāyor vairūpapṛṣṭho vrataṃ vā
10.13.10	ādityasya vairājapṛṣṭho viśvajid vā
10.13.11	apāṃ śarkvarīpṛṣṭhaḥ
10.13.12	gavāṃ revatīpṛṣṭhaḥ
10.13.13	prajāpater vāmadevyapṛṣṭhaḥ
10.13.14	viśveṣāṃ devānāṃ svarapṛṣṭhaḥ
10.13.15	sūryasya divākīrtyapṛṣṭhaḥ
10.13.16	mahendrasya mahāvratapṛṣṭhaḥ
10.13.17	jyotiṣṭomena trīṇy uttarāṇi tasya rathantaraṃ pṛṣṭhaṃ bṛhac ca vyatyāsam
10.13.18	yathaivārṣeyakalpenoktam iti kṣairakalambhiḥ
10.14.1	agniṣṭomās trivṛta ukthyāḥ para iti tatrāvacanād atirātrā na syur viṣuvantaś ceti śāṇḍilyaḥ
10.14.2	itaraḥ satranyāya iti dhānañjapyaḥ
10.14.3	atirātrāv abhitaḥ syātāṃ madhye viṣuvān bṛhatpṛṣṭho rathantaramadhyandinaḥ pañcadaśaḥ saptadaśaḥ
10.14.4	ekaikasmin vaitat saṃvatsaravargaṃ syāt
10.14.5	uttamam uttame vā saṃvatsare
10.14.6	pṛthag vā saṃvatsareṣu
10.14.7	teṣāṃ yathāstomaṃ viśuvantaḥ syuḥ
10.14.8	rathantarapṛṣṭho bṛhadbrahmasāmā trivṛtāṃ syād bṛhatpṛṣṭho rathantaramadhyandinaḥ pareṣu
10.14.9	yajanīye 'hani prasavaḥ syāt pūrvapakṣe yady aviṣuvatkāḥ samārdhamāsātivartiṣu
10.14.10	aparapakṣeṣu viṣameṣu
10.14.11	sahasrasāvye sahātirātrābhyāṃ sahasram ahānīty ācāryāḥ sahasrasāvyam iti hyāheti
10.14.12	antareṇeti śaucivṛkṣiḥ sahasram ahānīty antareṇātirātrāv āha
10.14.13	tasyāyanavikalpas trikadrukāś catuḥṣaṣṭhaṃ śatam abhiplavānāṃ daśarātro vratam iti daśarātro vratam iti
10.15.1	dakṣiṇe tīre sarasvatyā vinaśanasya dīkṣeran sārasvatāya ṣaṣṭyāṃ pakṣasyeti gautamaḥ
10.15.2	amāvāsyāyām atirātraḥ syād evaṃ svasthānam āmāvāsyaṃ prayujyate
10.15.3	saptamyāṃ vā dīkṣitvāmāvāsyāyā yajanīye 'hany atirātraḥ syād iti dhānañjapyaḥ
10.15.4	samādhaya uttarābhyāṃ sutyābhyām
10.15.5	svasthānaṃ caivāmāvāsyaṃ prayujyate
10.15.6	pūrvapakṣo hy āmāvāsyasthānam iti
10.15.7	purā rātreḥ sāyaṃ dohaṃ dohayeran saṃsthite 'tirātre prātardohaṃ tena sānnāyyena yajeran
10.15.8	sānnāyyeneṣṭvādhvaryuḥ śamyāṃ parāsyatīty āhavanīyanyantena tiṣṭhan prāṅmukho nityam iṣṭisaṃsthāsu prāsyet tad uktaṃ brāhmaṇena
10.15.9	cakrīvattā ca tathāpi patnīśālā sthācchāmitraṃ ca
10.15.10	tāni yathādeśaṃ varteran samaś ced bhūmibhāgaḥ syāt
10.15.11	anupūrvaṃ viṣame
10.15.12	vedeḥ pāṃśūn hareyus tathottaraveder dhiṣṇyebhyaś ca 
10.15.13	tān niviśya yathāyatanaṃ nivapeyuḥ
10.15.14	ulūkhalabudhno yūpa iti pṛthubudhnaḥ syāt
10.15.15	prakṛṣya iti taṃ pūrvaṃ karṣeyur evānudyacchantaḥ
10.15.16	upopta evety anikhātas tiṣṭheta pāṃśubhiḥ paryuptaḥ
10.15.17	noparavān khanantīty adhiṣavaṇaphalakayor adhastād uparavānām aśvabhrās teṣāṃ pratiṣedha ālikheyur evainān na khaneyuḥ
10.16.1	teṣāṃ paurṇamāsyāṃ goṣṭomaḥ stomo bhavatīti yajanīye 'hani syād ity ācāryaḥ saṃsthite goṣṭome paurṇamāsam iti hi saṃsthānāntād vidadhāti
10.16.2	te tam āpūryamāṇaṃ te tam apakṣīyamāṇam iti ca kṛtsnavatpakṣābhidhānam
10.16.3	parvaṇi tv eva syāt teṣāṃ paurṇamāsyāṃ teṣām amāvāsyāyām iti hi pratyakṣeṇa vidadhāti
10.16.4	karmānantaryamātraṃ tu saṃsthā darśapūrṇamāsayoḥ
10.16.5	te tam āpūryamāṇaṃ te tam apakṣīyamāṇam iti ca yathā bhūyaso vādaḥ
10.16.6	saṃsthite goṣṭome tad ahar eva paurṇamāsena haviṣeṣṭvodyuñjīrann iti
10.16.7	ayajamānās tatraiva tāṃ rātriṃ vaseyur iti gautamaḥ
10.16.8	udyuñjīrann eveti śāṇḍilyaḥ śvobhūte tu yajeran
10.16.9	etenāyur vyākhyātaḥ
10.16.10	tatra dhānañjapyenāmāvāsyāyāṃ sāyandohaṃ dohayeran purā prātaranuvākāt prātardoham
10.16.11	aticiram evaṃ dugdhaṃ sānnāyyaṃ tiṣṭhed iti śāṇḍilyāyana itarayor evānyatarat kuryur iti
10.16.12	kauṇḍapāyine bhojanamuktamiṣṭyayaneṣu darśapūrṇamāsadharmāś ca
10.16.13	candrapramāṇās tv eva parvasu syuḥ
10.17.1	dṛṣadvatyā apyaye 'ponaptrīyām iṣṭiṃ nirvaperan yadi sodakā syāt
10.17.2	apy anudakāyām iti dhānañjapyaḥ
10.17.3	śate goṣv ṛṣabham apyṛjantīti vatsatarī śate garbhiṇīṣu
10.17.4	tā yatra gavyam abhayaṃ syāt tatra rakṣeyuḥ
10.17.5	puṅgavais tāsāṃ bhuñjīran sarpiṣā ca
10.17.6	tāsu sahasraṃ sampannāsu pūrvapakṣe gām atirātraṃ kṛtvā dattvetā uttiṣṭheyuḥ
10.17.7	yadā sarvajyāniṃ jīyanta iti tāsām evādhikāraḥ prakaraṇabhūtatvāt tatra viśvajidatirātraḥ
10.17.8	mṛte gṛhapatāv āyuḥ
10.17.9	prādurbhāvāntād etayor āpador uttiṣṭheyur apy aparapakṣe
10.17.10	na sakṛc cana sarasvatyām avabhṛtham abhyaveyur devayajanabhūtā hy eṣāṃ bhavati
10.17.11	avidyamāne sarasvatyā evoddhāraṃ pārśvatas tu
10.17.12	yadā plakṣaṃ prāsravaṇam āgacchanty athotthānam iti tathā prāsyeyur yathenaṃ pūrvapakṣa āgaccheyur iti gautamaḥ
10.17.13	yadenātkiṃcid utthānam āgacched iti dhānañjapyaḥ prāyaṇīyam evātirātram upetyottiṣṭheyur iti
10.17.14	plakṣaṃ prāsravaṇam āgamya purastād atirātrasyāgnaye kāmāyeṣṭiḥ syād iti śāṇḍilyaḥ
10.17.15	upariṣṭād iti dhānañjapyaḥ
10.17.16	tasyām aśvāṃ ca puruṣīṃ ca dhenuke yajñopakaraṇaśeṣāṃścābhirūpāyānyasmai dadyuḥ
10.17.17	svāmino hi sarve satreṣu teṣāṃ pratigrahaṃ na vidyate
10.17.18	ukto 'vabhṛtho brāhmaṇena
10.17.19	apṛṣṭaśamanīyam etat
10.18.1	etenaivottare vyākhyāte
10.18.2	tatrāgnaye kāmāyeṣṭir aponaptrīyā ca sruvahomau syātām
